Model,Strategy,Attempts,pass@1,pass@5,pass@10
mistralai/Mistral-7B-Instruct-v0.2,cot,50,0.16000000000000003,0.5985066737148144,0.8567559261296757
mistralai/Mistral-7B-Instruct-v0.2,cot_strict,50,0.28,0.8220695123562839,0.975255064962868
mistralai/Mistral-7B-Instruct-v0.2,cot_final,50,0.4,0.9327408484207744,0.9970751361574547
mistralai/Mistral-7B-Instruct-v0.2,scot,50,0.31999999999999995,0.8686703543582095,0.9872347557348128
mistralai/Mistral-7B-Instruct-v0.2,plan_execute,50,0.52,0.9799392097264438,0.9998090729273933
mistralai/Mistral-7B-Instruct-v0.2,self_planning,50,0.52,0.9799392097264438,0.9998090729273933
mistralai/Mistral-7B-Instruct-v0.2,self_debugging,50,0.12,0.48743227170609227,0.7584511695520022
mistralai/Mistral-7B-Instruct-v0.2,self_edit,50,0.16000000000000003,0.5985066737148144,0.8567559261296757
mistralai/Mistral-7B-Instruct-v0.2,self_repair,50,0.31999999999999995,0.8686703543582095,0.9872347557348128
mistralai/Mistral-7B-Instruct-v0.2,self_critique,50,0.5,0.9749240121580547,0.9996817882123221
mistralai/Mistral-7B-Instruct-v0.2,self_critique_strict,50,0.12,0.48743227170609227,0.7584511695520022
codellama/CodeLlama-7b-Instruct-hf,cot,50,0.12,0.48743227170609227,0.7584511695520022
codellama/CodeLlama-7b-Instruct-hf,cot_strict,50,0.09999999999999998,0.4233613056693537,0.6894372179954313
codellama/CodeLlama-7b-Instruct-hf,cot_final,50,0.14,0.5456786044667636,0.8133486310174562
codellama/CodeLlama-7b-Instruct-hf,scot,50,0.07999999999999996,0.3530395136778116,0.6031697785497179
codellama/CodeLlama-7b-Instruct-hf,plan_execute,50,0.16000000000000003,0.5985066737148144,0.8567559261296757
codellama/CodeLlama-7b-Instruct-hf,self_planning,50,0.09999999999999998,0.4233613056693537,0.6894372179954313
codellama/CodeLlama-7b-Instruct-hf,self_debugging,50,0.16000000000000003,0.5985066737148144,0.8567559261296757
codellama/CodeLlama-7b-Instruct-hf,self_edit,50,0.07999999999999996,0.3530395136778116,0.6031697785497179
codellama/CodeLlama-7b-Instruct-hf,self_repair,50,0.12,0.48743227170609227,0.7584511695520022
codellama/CodeLlama-7b-Instruct-hf,self_critique,50,0.4,0.9327408484207744,0.9970751361574547
codellama/CodeLlama-7b-Instruct-hf,self_critique_strict,50,0.18000000000000005,0.6463034982725746,0.8908616580035624
