task_id,model,strategy,pass@1,pass@3,pass@5,attempts,correct
HumanEval/0,mistralai/Mistral-7B-Instruct-v0.2,cot,0.6666666666666667,1,1,3,2
HumanEval/0,mistralai/Mistral-7B-Instruct-v0.2,scot,0.33333333333333337,1,1,3,1
HumanEval/0,mistralai/Mistral-7B-Instruct-v0.2,self_planning,0.0,0.0,0.0,3,0
HumanEval/0,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,0.6666666666666667,1,1,3,2
HumanEval/1,mistralai/Mistral-7B-Instruct-v0.2,cot,0.6666666666666667,1,1,3,2
HumanEval/1,mistralai/Mistral-7B-Instruct-v0.2,scot,1,1,1,3,3
HumanEval/1,mistralai/Mistral-7B-Instruct-v0.2,self_planning,1,1,1,3,3
HumanEval/1,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,1,1,1,3,3
HumanEval/2,mistralai/Mistral-7B-Instruct-v0.2,cot,1,1,1,3,3
HumanEval/2,mistralai/Mistral-7B-Instruct-v0.2,scot,1,1,1,3,3
HumanEval/2,mistralai/Mistral-7B-Instruct-v0.2,self_planning,1,1,1,3,3
HumanEval/2,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,1,1,1,3,3
HumanEval/3,mistralai/Mistral-7B-Instruct-v0.2,cot,0.0,0.0,0.0,3,0
HumanEval/3,mistralai/Mistral-7B-Instruct-v0.2,scot,1,1,1,3,3
HumanEval/3,mistralai/Mistral-7B-Instruct-v0.2,self_planning,0.0,0.0,0.0,3,0
HumanEval/3,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,0.6666666666666667,1,1,3,2
HumanEval/4,mistralai/Mistral-7B-Instruct-v0.2,cot,1,1,1,3,3
HumanEval/4,mistralai/Mistral-7B-Instruct-v0.2,scot,1,1,1,3,3
HumanEval/4,mistralai/Mistral-7B-Instruct-v0.2,self_planning,1,1,1,3,3
HumanEval/4,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,1,1,1,3,3
HumanEval/5,mistralai/Mistral-7B-Instruct-v0.2,cot,0.33333333333333337,1,1,3,1
HumanEval/5,mistralai/Mistral-7B-Instruct-v0.2,scot,1,1,1,3,3
HumanEval/5,mistralai/Mistral-7B-Instruct-v0.2,self_planning,1,1,1,3,3
HumanEval/5,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,1,1,1,3,3
HumanEval/6,mistralai/Mistral-7B-Instruct-v0.2,cot,0.6666666666666667,1,1,3,2
HumanEval/6,mistralai/Mistral-7B-Instruct-v0.2,scot,1,1,1,3,3
HumanEval/6,mistralai/Mistral-7B-Instruct-v0.2,self_planning,1,1,1,3,3
HumanEval/6,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,1,1,1,3,3
HumanEval/7,mistralai/Mistral-7B-Instruct-v0.2,cot,1,1,1,3,3
HumanEval/7,mistralai/Mistral-7B-Instruct-v0.2,scot,1,1,1,3,3
HumanEval/7,mistralai/Mistral-7B-Instruct-v0.2,self_planning,1,1,1,3,3
HumanEval/7,mistralai/Mistral-7B-Instruct-v0.2,self_debugging,1,1,1,3,3
