Model,Strategy,Attempts,pass@1,pass@5,pass@10
mistralai/Mistral-7B-Instruct-v0.2,cot,50,0.42000000000000004,0.943950707017312,0.9980500907716365
mistralai/Mistral-7B-Instruct-v0.2,scot,50,0.42000000000000004,0.943950707017312,0.9980500907716365
mistralai/Mistral-7B-Instruct-v0.2,self_planning,50,0.36,0.9049557288225188,0.9937197728748812
mistralai/Mistral-7B-Instruct-v0.2,self_debugging,50,0.6,0.9926825124129207,0.9999820141163487
mistralai/Mistral-7B-Instruct-v0.2,self_edit,50,0.38,0.9198063961940003,0.9956823438514808
mistralai/Mistral-7B-Instruct-v0.2,self_repair-R2,50,0.48,0.9689535388623535,0.9994829058450234
codellama/CodeLlama-7b-Instruct-hf,cot,50,0.09999999999999998,0.4233613056693537,0.6894372179954313
codellama/CodeLlama-7b-Instruct-hf,scot,50,0.09999999999999998,0.4233613056693537,0.6894372179954313
codellama/CodeLlama-7b-Instruct-hf,self_planning,50,0.09999999999999998,0.4233613056693537,0.6894372179954313
codellama/CodeLlama-7b-Instruct-hf,self_debugging,50,0.09999999999999998,0.4233613056693537,0.6894372179954313
codellama/CodeLlama-7b-Instruct-hf,self_edit,50,0.16000000000000003,0.5985066737148144,0.8567559261296757
codellama/CodeLlama-7b-Instruct-hf,self_repair-R2,50,0.33999999999999997,0.8879835375408257,0.9909892393422208
